id,category,code,number,name,frequency,coverage
0,scene,1,59,street-s,2241,2241.0
1,scene,2,83,bedroom-s,1528,1528.0
2,scene,3,126,living_room-s,767,767.0
3,scene,4,130,bathroom-s,738,738.0
4,scene,5,134,kitchen-s,718,718.0
5,scene,6,186,dining_room-s,454,454.0
6,scene,7,223,skyscraper-s,351,351.0
7,scene,8,233,highway-s,325,325.0
8,scene,9,269,building_facade-s,251,251.0
9,scene,10,301,conference_room-s,184,184.0
10,scene,11,302,hotel_room-s,176,176.0
11,scene,12,333,mountain_snowy-s,143,143.0
12,scene,13,380,office-s,123,123.0
13,scene,14,383,corridor-s,122,122.0
14,scene,15,396,airport_terminal-s,118,118.0
15,scene,16,407,game_room-s,109,109.0
16,scene,17,410,waiting_room-s,106,106.0
17,scene,18,414,home_office-s,105,105.0
18,scene,19,413,poolroom-home-s,105,105.0
19,scene,20,424,art_studio-s,98,98.0
20,scene,21,428,attic-s,97,97.0
21,scene,22,429,forest-broadleaf-s,97,97.0
22,scene,23,430,park-s,94,94.0
23,scene,24,431,mountain-s,93,93.0
24,scene,25,440,coast-s,88,88.0
25,scene,26,444,alley-s,87,87.0
26,scene,27,453,parlor-s,80,80.0
27,scene,28,456,closet-s,79,79.0
28,scene,29,457,beach-s,79,79.0
29,scene,30,459,childs_room-s,77,77.0
30,scene,31,460,art_gallery-s,76,76.0
31,scene,32,467,apartment_building-outdoor-s,74,74.0
32,scene,33,478,castle-s,69,69.0
33,scene,34,477,staircase-s,69,69.0
34,scene,35,482,pasture-s,68,68.0
35,scene,36,484,dorm_room-s,67,67.0
36,scene,37,489,nursery-s,66,66.0
37,scene,38,492,garage-indoor-s,65,65.0
38,scene,39,491,lobby-s,65,65.0
39,scene,40,493,reception-s,63,63.0
40,scene,41,499,bar-s,61,61.0
41,scene,42,504,forest-needleleaf-s,59,59.0
42,scene,43,511,warehouse-indoor-s,57,57.0
43,scene,44,509,bakery-shop-s,57,57.0
44,scene,45,510,roundabout-s,57,57.0
45,scene,46,515,house-s,55,55.0
46,scene,47,529,casino-indoor-s,52,52.0
47,scene,48,534,classroom-s,51,51.0
48,scene,49,532,field-cultivated-s,51,51.0
49,scene,50,533,bridge-s,51,51.0
50,scene,51,535,river-s,50,50.0
51,scene,52,541,youth_hostel-s,49,49.0
52,scene,53,543,field-wild-s,48,48.0
53,scene,54,547,lighthouse-s,47,47.0
54,scene,55,553,creek-s,46,46.0
55,scene,56,554,museum-indoor-s,46,46.0
56,scene,57,556,window_seat-s,46,46.0
57,scene,58,555,shoe_shop-s,46,46.0
58,scene,59,558,amusement_park-s,45,45.0
59,scene,60,559,dinette-vehicle-s,45,45.0
60,scene,61,562,lake-natural-s,44,44.0
61,scene,62,563,dinette-home-s,44,44.0
62,scene,63,565,cockpit-s,43,43.0
63,scene,64,571,jacuzzi-indoor-s,42,42.0
64,scene,65,574,playroom-s,41,41.0
65,scene,66,580,valley-s,40,40.0
66,scene,67,579,parking_lot-s,40,40.0
67,scene,68,585,tower-s,39,39.0
68,scene,69,583,auditorium-s,39,39.0
69,scene,70,584,beauty_salon-s,39,39.0
70,scene,71,589,wet_bar-s,38,38.0
71,scene,72,590,artists_loft-s,38,38.0
72,scene,73,592,balcony-interior-s,37,37.0
73,scene,74,594,arrival_gate-outdoor-s,36,36.0
74,scene,75,598,plaza-s,35,35.0
75,scene,76,597,playground-s,35,35.0
76,scene,77,602,hill-s,34,34.0
77,scene,78,608,clothing_store-s,33,33.0
78,scene,79,611,pantry-s,33,33.0
79,scene,80,610,bow_window-indoor-s,33,33.0
80,scene,81,609,utility_room-s,33,33.0
81,scene,82,616,galley-s,32,32.0
82,scene,83,619,basement-s,32,32.0
83,scene,84,617,bookstore-s,32,32.0
84,scene,85,618,abbey-s,32,32.0
85,scene,86,625,golf_course-s,31,31.0
86,scene,87,624,supermarket-s,31,31.0
87,scene,88,630,hallway-s,30,30.0
88,scene,89,638,market-outdoor-s,29,29.0
89,scene,90,634,laundromat-s,29,29.0
90,scene,91,636,greenhouse-indoor-s,29,29.0
91,scene,92,639,subway_interior-s,29,29.0
92,scene,93,637,gazebo-exterior-s,29,29.0
93,scene,94,635,ballroom-s,29,29.0
94,scene,95,647,alcove-s,28,28.0
95,scene,96,646,doorway-indoor-s,28,28.0
96,scene,97,645,bus_interior-s,28,28.0
97,scene,98,650,access_road-s,27,27.0
98,scene,99,652,archive-s,27,27.0
99,scene,100,651,landing_deck-s,27,27.0
100,scene,101,662,waterfall-block-s,26,26.0
101,scene,102,661,gymnasium-indoor-s,26,26.0
102,scene,103,672,office_building-s,25,25.0
103,scene,104,677,ocean-s,25,25.0
104,scene,105,671,cathedral-indoor-s,25,25.0
105,scene,106,674,badlands-s,25,25.0
106,scene,107,675,forest_path-s,25,25.0
107,scene,108,673,baggage_claim-s,25,25.0
108,scene,109,676,home_theater-s,25,25.0
109,scene,110,696,toyshop-s,24,24.0
110,scene,111,689,harbor-s,24,24.0
111,scene,112,694,library-indoor-s,24,24.0
112,scene,113,697,dentists_office-s,24,24.0
113,scene,114,692,bowling_alley-s,24,24.0
114,scene,115,690,amusement_arcade-s,24,24.0
115,scene,116,695,restaurant-s,24,24.0
116,scene,117,686,fastfood_restaurant-s,24,24.0
117,scene,118,691,poolroom-establishment-s,24,24.0
118,scene,119,688,church-indoor-s,24,24.0
119,scene,120,693,auto_showroom-s,24,24.0
120,scene,121,687,gas_station-s,24,24.0
121,scene,122,711,theater-indoor_procenium-s,23,23.0
122,scene,123,713,construction_site-s,23,23.0
123,scene,124,708,fairway-s,23,23.0
124,scene,125,712,parking_garage-indoor-s,23,23.0
125,scene,126,710,yard-s,23,23.0
126,scene,127,709,courthouse-s,23,23.0
127,scene,128,706,bow_window-outdoor-s,23,23.0
128,scene,129,707,driveway-s,23,23.0
129,scene,130,728,water_tower-s,22,22.0
130,scene,131,725,cubicle-office-s,22,22.0
131,scene,132,726,computer_room-s,22,22.0
132,scene,133,731,music_studio-s,22,22.0
133,scene,134,721,amphitheater-s,22,22.0
134,scene,135,730,airplane_cabin-s,22,22.0
135,scene,136,729,campus-s,22,22.0
136,scene,137,727,kindergarden_classroom-s,22,22.0
137,scene,138,724,control_tower-outdoor-s,22,22.0
138,scene,139,722,ball_pit-s,22,22.0
139,scene,140,723,desert-sand-s,22,22.0
140,scene,141,742,cloister-indoor-s,21,21.0
141,scene,142,745,weighbridge-s,21,21.0
142,scene,143,741,swimming_pool-outdoor-s,21,21.0
143,scene,144,743,wine_cellar-barrel_storage-s,21,21.0
144,scene,145,740,delicatessen-s,21,21.0
145,scene,146,746,shopping_mall-indoor-s,21,21.0
146,scene,147,744,restaurant_patio-s,21,21.0
147,scene,148,747,berth-s,21,21.0
148,scene,149,754,swimming_pool-indoor-s,20,20.0
149,scene,150,755,waterfall-fan-s,20,20.0
150,scene,151,759,videostore-s,20,20.0
151,scene,152,757,cemetery-s,20,20.0
152,scene,153,760,reading_room-s,20,20.0
153,scene,154,753,geodesic_dome-outdoor-s,20,20.0
154,scene,155,758,windmill-s,20,20.0
155,scene,156,756,ice_skating_rink-indoor-s,20,20.0
156,scene,157,772,atrium-public-s,19,19.0
157,scene,158,771,courtroom-s,19,19.0
158,scene,159,768,dining_car-s,19,19.0
159,scene,160,767,day_care_center-s,19,19.0
160,scene,161,765,movie_theater-indoor-s,19,19.0
161,scene,162,770,mansion-s,19,19.0
162,scene,163,769,jail_cell-s,19,19.0
163,scene,164,766,sauna-s,19,19.0
164,scene,165,790,mosque-outdoor-s,18,18.0
165,scene,166,789,lecture_room-s,18,18.0
166,scene,167,783,campsite-s,18,18.0
167,scene,168,782,doorway-outdoor-s,18,18.0
168,scene,169,788,church-outdoor-s,18,18.0
169,scene,170,787,inn-indoor-s,18,18.0
170,scene,171,786,hospital_room-s,18,18.0
171,scene,172,785,florist_shop-indoor-s,18,18.0
172,scene,173,791,aqueduct-s,18,18.0
173,scene,174,784,shower-s,18,18.0
174,scene,175,802,forest_road-s,17,17.0
175,scene,176,803,cabin-outdoor-s,17,17.0
176,scene,177,804,operating_room-s,17,17.0
177,scene,178,805,inn-outdoor-s,17,17.0
178,scene,179,823,crosswalk-s,16,16.0
179,scene,180,814,sandbox-s,16,16.0
180,scene,181,818,hayfield-s,16,16.0
181,scene,182,817,snowfield-s,16,16.0
182,scene,183,816,planetarium-outdoor-s,16,16.0
183,scene,184,826,slum-s,16,16.0
184,scene,185,825,islet-s,16,16.0
185,scene,186,815,shopfront-s,16,16.0
186,scene,187,824,television_studio-s,16,16.0
187,scene,188,822,locker_room-s,16,16.0
188,scene,189,821,barn-s,16,16.0
189,scene,190,820,botanical_garden-s,16,16.0
190,scene,191,819,carrousel-s,16,16.0
191,scene,192,840,subway_station-corridor-s,15,15.0
192,scene,193,849,rope_bridge-s,15,15.0
193,scene,194,837,hunting_lodge-outdoor-s,15,15.0
194,scene,195,843,kasbah-s,15,15.0
195,scene,196,838,marsh-s,15,15.0
196,scene,197,844,auto_factory-s,15,15.0
197,scene,198,846,balcony-exterior-s,15,15.0
198,scene,199,848,chicken_coop-outdoor-s,15,15.0
199,scene,200,834,ski_resort-s,15,15.0
200,scene,201,833,diner-outdoor-s,15,15.0
201,scene,202,842,corn_field-s,15,15.0
202,scene,203,841,kitchenette-s,15,15.0
203,scene,204,836,village-s,15,15.0
204,scene,205,835,monastery-outdoor-s,15,15.0
205,scene,206,847,courtyard-s,15,15.0
206,scene,207,845,martial_arts_gym-s,15,15.0
207,scene,208,839,fountain-s,15,15.0
208,scene,209,859,outhouse-outdoor-s,14,14.0
209,scene,210,874,donjon-s,14,14.0
210,scene,211,873,runway-s,14,14.0
211,scene,212,862,viaduct-s,14,14.0
212,scene,213,868,baptistry-outdoor-s,14,14.0
213,scene,214,858,kiosk-indoor-s,14,14.0
214,scene,215,867,farm-s,14,14.0
215,scene,216,877,escalator-indoor-s,14,14.0
216,scene,217,875,ruin-s,14,14.0
217,scene,218,871,moor-s,14,14.0
218,scene,219,861,art_school-s,14,14.0
219,scene,220,872,hospital-s,14,14.0
220,scene,221,864,pulpit-s,14,14.0
221,scene,222,870,arch-s,14,14.0
222,scene,223,869,wheat_field-s,14,14.0
223,scene,224,865,garage-outdoor-s,14,14.0
224,scene,225,878,airport-s,14,14.0
225,scene,226,876,canyon-s,14,14.0
226,scene,227,866,corral-s,14,14.0
227,scene,228,863,bleachers-outdoor-s,14,14.0
228,scene,229,860,stage-indoor-s,14,14.0
229,scene,230,896,medina-s,13,13.0
230,scene,231,911,kennel-indoor-s,13,13.0
231,scene,232,895,bank-outdoor-s,13,13.0
232,scene,233,904,car_interior-backseat-s,13,13.0
233,scene,234,917,desert-vegetation-s,13,13.0
234,scene,235,914,hot_spring-s,13,13.0
235,scene,236,915,sandbar-s,13,13.0
236,scene,237,901,dolmen-s,13,13.0
237,scene,238,913,vegetable_garden-s,13,13.0
238,scene,239,908,elevator-interior-s,13,13.0
239,scene,240,907,embassy-s,13,13.0
240,scene,241,919,covered_bridge-exterior-s,13,13.0
241,scene,242,910,casino-outdoor-s,13,13.0
242,scene,243,916,observatory-outdoor-s,13,13.0
243,scene,244,902,dacha-s,13,13.0
244,scene,245,912,cathedral-outdoor-s,13,13.0
245,scene,246,900,fire_escape-s,13,13.0
246,scene,247,897,candy_store-s,13,13.0
247,scene,248,894,town_house-s,13,13.0
248,scene,249,906,bus_depot-outdoor-s,13,13.0
249,scene,250,905,jewelry_shop-s,13,13.0
250,scene,251,898,palace-s,13,13.0
251,scene,252,899,mountain_path-s,13,13.0
