unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
349,part,wheel,0.294074748814592,black-c,139916835.0,3451051.0,1093610.0,0.0076866319811741655,bicycle,1152271.0,2409653.0,641001.0,0.2194515226864933,wheel,1513439.0,1778220.0,748020.0,0.294074748814592,metal,3462561.0,369072.0,26080.0,0.006853143288242208,laundromat-s,363776.0,467492.0,15405.0,0.01888184658453686,interlaced,1630720.0,440902.0,100649.0,0.051065641183314026
480,part,crosswalk,0.2356782150550038,grey-c,159331282.0,3085681.0,1107485.0,0.006865591617623361,road,12902886.0,1711202.0,600014.0,0.04281510144730219,crosswalk,241792.0,379486.0,118495.0,0.2356782150550038,tile,3959469.0,356024.0,29869.0,0.0069695801591553525,crosswalk-s,200704.0,1110222.0,35473.0,0.027812079316133168,chequered,1530368.0,509278.0,77179.0,0.03932754028475383
405,object,car,0.228760677514995,black-c,139916835.0,3389783.0,1121226.0,0.007885662403350127,car,5354795.0,3010749.0,1557429.0,0.228760677514995,windshield,67640.0,1764847.0,40373.0,0.022528142740919382,leather,470954.0,159737.0,2142.0,0.003407848870971077,street-s,28111104.0,1896627.0,1189567.0,0.041278375680005155,,24924928.0,117666.0,103127.0,0.004135092381886109
169,scene,skyscraper-s,0.21791397471390425,blue-c,61494563.0,3449074.0,847562.0,0.013223305795245653,skyscraper,1270392.0,2923089.0,599223.0,0.16671674654407112,crosswalk,241792.0,175960.0,13575.0,0.03358677015268062,brick,422313.0,154581.0,1647.0,0.002863117930210848,skyscraper-s,4402944.0,2344638.0,1207304.0,0.21791397471390425,crosshatched,1743616.0,210384.0,12391.0,0.006381820438615602
339,object,mountain,0.2094105794895687,blue-c,61494563.0,3340266.0,1098916.0,0.017241707983378225,mountain,5469345.0,3133340.0,1489563.0,0.2094105794895687,roof,443437.0,183415.0,7132.0,0.011508423158845928,foliage,30325.0,42162.0,675.0,0.009399543251824195,mountain-s,1166592.0,1795567.0,227080.0,0.08302502414007054,,24924928.0,330422.0,242520.0,0.009695824103070304
142,object,dog,0.20491684825120843,white-c,72511065.0,3613136.0,432690.0,0.005716493095242873,dog,3793935.0,3234792.0,1195356.0,0.20491684825120843,head,4946761.0,3131918.0,1116635.0,0.16038896048344423,fur,103280.0,346008.0,21435.0,0.050098982594489215,waterfall-block-s,326144.0,55504.0,2427.0,0.006399962027419366,freckled,1555456.0,146127.0,14819.0,0.008785461392346528
460,texture,dotted,0.2030509949861271,pink-c,18491188.0,3253268.0,215918.0,0.010029385181659804,plaything,385803.0,1406595.0,44292.0,0.02533713630637959,stern,184796.0,432690.0,12420.0,0.02052668634496071,plastic-opaque,577397.0,504522.0,13643.0,0.012771044187082739,ball_pit-s,275968.0,813600.0,43406.0,0.041490706028320654,dotted,2935296.0,887739.0,645252.0,0.2030509949861271
150,scene,mountain_snowy-s,0.2004541815544737,blue-c,61494563.0,3197244.0,944479.0,0.014815977855573806,mountain,5469345.0,2392101.0,840036.0,0.11963921776395339,body,1291612.0,266033.0,13684.0,0.008862918169565163,fabric,8548746.0,100164.0,40368.0,0.004689295818037479,mountain_snowy-s,1793792.0,1518560.0,553103.0,0.2004541815544737,lacelike,1530368.0,693964.0,84765.0,0.039617829214976676
499,part,crosswalk,0.1939309232709697,white-c,72511065.0,3229475.0,675712.0,0.009001712493099964,road,12902886.0,1910159.0,501717.0,0.03505733360314291,crosswalk,241792.0,563752.0,130845.0,0.1939309232709697,paper,471596.0,412262.0,14806.0,0.01703695521096551,classroom-s,639744.0,1204966.0,54086.0,0.030205112854513286,banded,2571520.0,577711.0,117723.0,0.038833148386875446
436,part,screen,0.18582358820428752,blue-c,61494563.0,2952147.0,922314.0,0.01451905186158716,tvmonitor,1019561.0,1905206.0,194565.0,0.07126395775843693,screen,677188.0,427396.0,173093.0,0.18582358820428752,glass,2246777.0,379156.0,103883.0,0.04118990503756864,movie_theater-indoor-s,238336.0,950449.0,37422.0,0.03250234721803636,,24924928.0,220571.0,132631.0,0.00530251069169677
185,object,road,0.17948168025303993,grey-c,159331282.0,3448945.0,1963219.0,0.012207782151997257,road,12902886.0,3353680.0,2473761.0,0.17948168025303993,crosswalk,241792.0,943400.0,44048.0,0.038599861191926696,concrete,382930.0,21953.0,310.0,0.0007662399616385669,highway-s,4076800.0,2451650.0,555084.0,0.09292650073677053,potholed,1580544.0,121710.0,23332.0,0.013897012487774894
387,part,roof,0.17852489103321606,pink-c,18491188.0,2834691.0,134282.0,0.006336568216166059,house,1833277.0,1921661.0,142100.0,0.03933196008235077,roof,443437.0,411254.0,129470.0,0.17852489103321606,carpet,4405463.0,374259.0,64684.0,0.013718659319394668,hut-s,137984.0,1018731.0,16632.0,0.014588411545475197,,24924928.0,309372.0,191486.0,0.007646345175106919
472,scene,ball_pit-s,0.16544853824589506,red-c,21004512.0,3484536.0,251219.0,0.010364748426932132,ball,122639.0,931085.0,97956.0,0.10248930702848388,balcony,317196.0,110294.0,3069.0,0.007231027682419106,food,1104928.0,236831.0,40533.0,0.0311498540607089,ball_pit-s,275968.0,748396.0,145420.0,0.16544853824589506,dotted,2935296.0,1973953.0,368683.0,0.08119758638020018
